Title,NSSBusinessStream,NSSBusinessUnit,NSSReportingUnit
1215-Build Scotland & North East,S004-Build UK,B007-Build Scotland & North East,1215-Build Scotland & North East
C&IS Building UK Scotland - Aberdeen,S004-Build UK,B007-Build Scotland & North East,C&IS Building UK Scotland - Aberdeen
C&IS Building UK Scotland - Newcastle,S004-Build UK,B007-Build Scotland & North East,C&IS Building UK Scotland - Newcastle
C&IS Building UK Northern - Leeds,S004-Build UK,B008-Build Northern,C&IS Building UK Northern - Leeds
C&IS Building UK Northern - Liverpool,S004-Build UK,B008-Build Northern,C&IS Building UK Northern - Liverpool
C&IS Building UK Northern - Manchester,S004-Build UK,B008-Build Northern,C&IS Building UK Northern - Manchester
C&IS Building UK Northern - Mgmt & Overheads,S004-Build UK,B008-Build Northern,C&IS Building UK Northern - Mgmt & Overheads
C&IS Building UK Northern - Mgmt & Overheads,S004-Build UK,B008-Build Northern,C&IS Building UK Northern - Mgmt & Overheads
1220-Build Central,S004-Build UK,B009-Build Central,1220-Build Central
C&IS Building UK Central - Cheltenham,S004-Build UK,B009-Build Central,C&IS Building UK Central - Cheltenham
C&IS Building UK Central - Newbury,S004-Build UK,B009-Build Central,C&IS Building UK Central - Newbury
C&IS Building UK Central - Nottingham,S004-Build UK,B009-Build Central,C&IS Building UK Central - Nottingham
1170-Build Eastern,S004-Build UK,B010-Build Eastern,1170-Build Eastern
C&IS Building UK Eastern - Norwich,S004-Build UK,B010-Build Eastern,C&IS Building UK Eastern - Norwich
C&IS Building UK Eastern - Rushden,S004-Build UK,B010-Build Eastern,C&IS Building UK Eastern - Rushden
C&IS Building UK Eastern - Witham,S004-Build UK,B010-Build Eastern,C&IS Building UK Eastern - Witham
1243-Build Centre,S004-Build UK,B011-Build Centre,1243-Build Centre
C&IS Building UK Mgmt & Overheads - Mgmt & Overheads,S004-Build UK,B011-Build Centre,C&IS Building UK Mgmt & Overheads - Mgmt & Overheads
1226-Build London,S004-Build UK,B012-Build London,1226-Build London
1231-Build Southern,S004-Build UK,B013-Build Southern,1231-Build Southern
C&IS Building UK Southern - Aylesford,S004-Build UK,B013-Build Southern,C&IS Building UK Southern - Aylesford
C&IS Building UK Southern - Crawley,S004-Build UK,B013-Build Southern,C&IS Building UK Southern - Crawley
C&IS Building UK Southern - Maple Cross,S004-Build UK,B013-Build Southern,C&IS Building UK Southern - Maple Cross
C&IS Building UK Southern - Southampton,S004-Build UK,B013-Build Southern,C&IS Building UK Southern - Southampton
1233-Build Major Projects,S004-Build UK,B014-Build Major Projects,1233-Build Major Projects
C&IS Building UK Major Projects - Broadmoor,S004-Build UK,B014-Build Major Projects,C&IS Building UK Major Projects - Broadmoor
C&IS Building UK Major Projects - Cambridge,S004-Build UK,B014-Build Major Projects,C&IS Building UK Major Projects - Cambridge
C&IS Building UK Major Projects - Cumbria,S004-Build UK,B014-Build Major Projects,C&IS Building UK Major Projects - Cumbria
C&IS Building UK Major Projects - Kings Cross T1 Flues,S004-Build UK,B014-Build Major Projects,C&IS Building UK Major Projects - Kings Cross T1 Flues
C&IS Building UK Major Projects - Lyneham,S004-Build UK,B014-Build Major Projects,C&IS Building UK Major Projects - Lyneham
C&IS Building UK Major Projects - Midland Goodshed,S004-Build UK,B014-Build Major Projects,C&IS Building UK Major Projects - Midland Goodshed
C&IS Building UK Major Projects - R7 London,S004-Build UK,B014-Build Major Projects,C&IS Building UK Major Projects - R7 London
C&IS Building UK Major Projects - Ram Brewery,S004-Build UK,B014-Build Major Projects,C&IS Building UK Major Projects - Ram Brewery
C&IS Building UK Major Projects - St Bernards,S004-Build UK,B014-Build Major Projects,C&IS Building UK Major Projects - St Bernards
C&IS Building UK Major Projects - UCL Howland Street,S004-Build UK,B014-Build Major Projects,C&IS Building UK Major Projects - UCL Howland Street
1239-Build Western and Wales,S004-Build UK,B015-Build Western & Wales,1239-Build Western and Wales
C&IS Building UK Western & Wales - Bristol,S004-Build UK,B015-Build Western & Wales,C&IS Building UK Western & Wales - Bristol
C&IS Building UK Western & Wales - Cardiff,S004-Build UK,B015-Build Western & Wales,C&IS Building UK Western & Wales - Cardiff
C&IS Building UK Western & Wales - Exeter,S004-Build UK,B015-Build Western & Wales,C&IS Building UK Western & Wales - Exeter
C&IS Building UK Western & Wales - Exeter,S004-Build UK,B015-Build Western & Wales,C&IS Building UK Western & Wales - Exeter
C&IS Building UK Western & Wales - Plymouth,S004-Build UK,B015-Build Western & Wales,C&IS Building UK Western & Wales - Plymouth
C&IS Building UK Western & Wales - Truro,S004-Build UK,B015-Build Western & Wales,C&IS Building UK Western & Wales - Truro
1241-Build KME,S004-Build UK,B016-Build KME,1241-Build KME
C&IS Building UK Strategic Frameworks & Alliances - Strategic Frameworks & Alliances,S004-Build UK,B016-Build KME,C&IS Building UK Strategic Frameworks & Alliances - Strategic Frameworks & Alliances
1060-Professional Services,S017-Infrastructure and Utilities,B019-Professional Services,1060-Professional Services
C&IS Consulting Professional Services (KPS) - Head Office,S017-Infrastructure and Utilities,B019-Professional Services,C&IS Consulting Professional Services (KPS) - Head Office
C&IS Consulting Professional Services (KPS) - Hong Kong,S017-Infrastructure and Utilities,B019-Professional Services,C&IS Consulting Professional Services (KPS) - Hong Kong
C&IS Consulting Professional Services (KPS) - Leeds,S017-Infrastructure and Utilities,B019-Professional Services,C&IS Consulting Professional Services (KPS) - Leeds
C&IS Consulting Professional Services (KPS) - MEICA,S017-Infrastructure and Utilities,B019-Professional Services,C&IS Consulting Professional Services (KPS) - MEICA
C&IS Consulting Professional Services (KPS) - Speke,S017-Infrastructure and Utilities,B019-Professional Services,C&IS Consulting Professional Services (KPS) - Speke
C&IS Consulting Professional Services (KPS) - Trowse,S017-Infrastructure and Utilities,B019-Professional Services,C&IS Consulting Professional Services (KPS) - Trowse
1041-Infrastructure Projects,S017-Infrastructure and Utilities,B021-UK Infrastructure,1041-Infrastructure Projects
C&IS Infrastructure North - Bolton Interchange,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - Bolton Interchange
C&IS Infrastructure North - Chapelcross,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - Chapelcross
C&IS Infrastructure North - M6 - Sandbach,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - M6 - Sandbach
C&IS Infrastructure North - Mersey Gateway,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - Mersey Gateway
C&IS Infrastructure North - Mgmt & Overheads,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - Mgmt & Overheads
C&IS Infrastructure North - North Brunswick House,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - North Brunswick House
C&IS Infrastructure North - Operational,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - Operational
C&IS Infrastructure North - Sellafield,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - Sellafield
C&IS Infrastructure North - SmartHighwayM6,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - SmartHighwayM6
C&IS Infrastructure North - Speke,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - Speke
C&IS Infrastructure North - URENCO,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - URENCO
C&IS Infrastructure North - Wakefield,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - Wakefield
C&IS Infrastructure North - York,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure North - York
C&IS Infrastructure South - A30,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - A30
C&IS Infrastructure South - Bristol Office,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Bristol Office
C&IS Infrastructure South - Bristol Site - Parson Street,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Bristol Site - Parson Street
C&IS Infrastructure South - Cardiff Office,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Cardiff Office
C&IS Infrastructure South - Cardiff Site - Windsor Road,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Cardiff Site - Windsor Road
C&IS Infrastructure South - Castlepoint,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Castlepoint
C&IS Infrastructure South - Chelsea River Bridge,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Chelsea River Bridge
C&IS Infrastructure South - Crossrail BFK C300/410 Running Tunnels,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Crossrail BFK C300/410 Running Tunnels
C&IS Infrastructure South - Crossrail BFK C435 Farringdon Station,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Crossrail BFK C435 Farringdon Station
C&IS Infrastructure South - Deephams STW Upgrade,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Deephams STW Upgrade
C&IS Infrastructure South - Deephams STW Upgrade,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Deephams STW Upgrade
C&IS Infrastructure South - Hinkley Earthworks Contract,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Hinkley Earthworks Contract
C&IS Infrastructure South - London Rail Projects,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - London Rail Projects
C&IS Infrastructure South - Mgmt & Overheads,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Mgmt & Overheads
C&IS Infrastructure South - Port Talbot Office,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Port Talbot Office
C&IS Infrastructure South - Signalling,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - Signalling
C&IS Infrastructure South - St Marys Isle of Scilly,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - St Marys Isle of Scilly
C&IS Infrastructure South - SWDWP Waste PFI,S017-Infrastructure and Utilities,B021-UK Infrastructure,C&IS Infrastructure South - SWDWP Waste PFI
1318-Utilities East,S017-Infrastructure and Utilities,B047-Utilities North and East,1318-Utilities East
1319-Utilities Scotland,S017-Infrastructure and Utilities,B047-Utilities North and East,1319-Utilities Scotland
1320-Utilities North West,S017-Infrastructure and Utilities,B047-Utilities North and East,1320-Utilities North West
C&IS Infrastructure Utilities - Anglian Water,S017-Infrastructure and Utilities,B047-Utilities North and East,C&IS Infrastructure Utilities - Anglian Water
C&IS Infrastructure Utilities - IMT,S017-Infrastructure and Utilities,B047-Utilities North and East,C&IS Infrastructure Utilities - IMT
C&IS Infrastructure Utilities - Scotia Gas Networks,S017-Infrastructure and Utilities,B047-Utilities North and East,C&IS Infrastructure Utilities - Scotia Gas Networks
C&IS Infrastructure Utilities - Scottish Water,S017-Infrastructure and Utilities,B047-Utilities North and East,C&IS Infrastructure Utilities - Scottish Water
C&IS Infrastructure Utilities - Severn Trent Water,S017-Infrastructure and Utilities,B047-Utilities North and East,C&IS Infrastructure Utilities - Severn Trent Water
C&IS Infrastructure Utilities - United Utilities,S017-Infrastructure and Utilities,B047-Utilities North and East,C&IS Infrastructure Utilities - United Utilities
1339-Western Power Distribution,S017-Infrastructure and Utilities,B048-Utilities South and West,1339-Western Power Distribution
1339-Western Power Distribution,S017-Infrastructure and Utilities,B048-Utilities South and West,1339-Western Power Distribution
1340-Utilities South,S017-Infrastructure and Utilities,B048-Utilities South and West,1340-Utilities South
1341-Utilities Pennon,S017-Infrastructure and Utilities,B048-Utilities South and West,1341-Utilities Pennon
C&IS Infrastructure Utilities - Affinity Water,S017-Infrastructure and Utilities,B048-Utilities South and West,C&IS Infrastructure Utilities - Affinity Water
C&IS Infrastructure Utilities - Bournemouth Water,S017-Infrastructure and Utilities,B048-Utilities South and West,C&IS Infrastructure Utilities - Bournemouth Water
