Title,SiteAddress,SitePostcode,
Marriott House,"Kier Workplace Services, Marriott House, Rushden, Northamptonshire, NN10 6EN",NN106EN,
Marriott House,"KGS/askHR,Marriott House, Rushden, Northamptonshire, NN10 6EN",NN106EN,
Marriott House,"Kier Construction Eastern,Marriott House, Rushden, Northamptonshire, NN10 6EN",NN106EN,
Marriott House,"KGS/Group Procurement, Marriott House, Rushden, Northamptonshire, NN10 6EN",NN106EN,
Sapphire House,"KGS/Group Procurement,Suite 5, Sapphire House, Crown Way, Rushden, Northamptonshire, NN10 6FB",NN106FB,
Sapphire House,"KGS/IT/BOOST,Suite 6, Sapphire House, Crown Way, Rushden, Northamptonshire, NN10 6FB",NN106FB,
Colworth House,"KGS/Group Procurement,Suite 1, Colworth House, Colworth Park, Sharnbrook, MK44 1LQ",MK441LQ,
Crispen Gardens,"Kier Living, Crispin Gardens�Rushden, Northamptonshire, NN10 9JS",NN109JS,
Killingworth,"Havery Combe, Killingworth, NE12 6UB",NE12 6UB,
North Shields,"Parks Sports Centre, Howdon Rd, North Shields NE29 6TL",NE29 6TL,
Whitley Bay,"Rockcliff School, Grafton Road, Whitleybay, NE26 2NR",NE26 2NR,
Whitley Bay,"Welfield School, Whitley Bay, NE25 9QW",NE25 9QW,
Chemistry of Health/University of Cambridge,UoC Dept of Chemistry of Health,CB2 1EZ,
ARM,ARM Headquaters Building,CB1 9NJ,
North range,University Of Cambridge,CB2 3QE,
Clay farm,Great Kneighton PS,CB2 9AS,
Godmanchester Bridge Academy,Godmanchester Bridge Academy,PE29 2LQ,
Ongar Academy,Ongar Academy,CM5 0GA,
Spalding Parish PS,Spalding Parish PS,PE11 2RU,
UoE STEM Centre,STEM Centre/University Of Essex,CO4 3SQ,
University Of Northampton - Waterside Campus,University Of Northampton - Waterside Campus,NN4 8RR,
Almond Hill Primary School,Almond Hill Primary School,SG1 3RP,
Sawtry Junior Academy,Sawtry Junior Academy,PE28 5SH,
White Bridge Primary School,White Bridge Primary School,IG10 3DR,
Ayr Academy,"Craigie House, Riverside Campus, University Avenue, Ayr",KA8 0HN,
EALC Kilmarnock,"EALC Kilmarnock, Sutherland Drive, Kilmarnock ",KA3 7DF,
Garnock Academy,"Garnock Academy, Beith Road, Glengarnock",KA14 7BJ,
Cumbernauld Community Enterprise Centre,"Cumbernauld Community Enterprise Centre, Brown Road, Seafar, Cumbernauld ",G67 1AB,
"Halfmerke Primary School 
","Halfmerke Primary School, The Show Park, Maxwell Drive, East Kilbride 
",G74 4HG,
Marr College,"Marr College, off Dundunald Road, Troon",KA10 7AB,
North Control Room (SCAPE),"North Control Room (SCAPE), MacAlpine Road Fire Station, MacAlpine Road, Dundee ",DD3 8SA,
Glasgow School of Art,"Glasgow School of Art, 167 Renfrew Street, Glasgow ",G3 6RQ,
