Title,Approved_x0020_Installations,Download_x0020_Centre,Installed_x0020_by_x0020_SCC,_Comments,Licence_x0020_Location,Additional_x0020_Costs,Type_x0020_of_x0020_Licence
4Projects  (unlimited licenses),,,FALSE,,Server,Cost in annual maintenance,Network/Concurrent
Adobe Air,,,FALSE,,User License,£26.67 per month per user ongoing,Subscription
Adobe Creative Cloud (full suite),,,FALSE,,User License,£53.33 per month per user ongoing,Subscription
Adobe Illustrator,,,FALSE,,User License,£26.67 per month per user ongoing,Subscription
Adobe Incopy,,,FALSE,,User License,£26.67 per month per user ongoing,Subscription
Adobe Indesign,,,FALSE,,User License,£26.67 per month per user ongoing,Subscription
Adobe Photoshop,,,FALSE,,User License,£26.67 per month per user ongoing,Subscription
Adobe After Effects,,,FALSE,,User License,£26.67 per month per user ongoing,Subscription
Adobe Lightroom,,,FALSE,,User License,£86,Standalone/Perpetual
Adobe Premiere Pro,,,FALSE,,User License,£26.67 per month per user ongoing,Subscription
Adobe Acrobat Professional PDF editor,,SCCM,FALSE,,User License,£13.67 per month per user ongoing,Subscription
Adobe Acrobat Standard PDF editor,,,FALSE,,User License,£11.67 per month per user ongoing,Subscription
AecoSim Bentley,,,FALSE,,User License,"£1,044.00",Standalone/Perpetual
AirSquirrels,,,FALSE,,User License,$15.00,Standalone/Perpetual
Amtech Office Pro,,,FALSE,,User License,"£1,950.00",Standalone/Perpetual
Amtech ProDesign 200/2016,,,FALSE,,User License,£3782.3 / £5000 (Maintenance per annum),Standalone/Perpetual
Amtech ProDesign network x 2 concurrent,,,FALSE,,Server,"£14,107.00",Network/Concurrent
Amtech SingleCable,,,FALSE,,User License,£295.00,Standalone/Perpetual
ArcGIS Desktop Basic,,,FALSE,,User License,"£1,799.00",Subscription
ArcGIS Standard,,,FALSE,,User License,"£8,107.00",Subscription
Argus Developer,,,FALSE,,Server,"£3,850.00",Network/Concurrent
Asta BIM Add on Module,,,FALSE,,User License,£675.00,Standalone/Perpetual
Asta PowerProject Network Reinstated,,,FALSE,,Server,£465.00,Network/Concurrent
Asta PowerProject Network New,,,FALSE,,Server,"£1,530.00",Network/Concurrent
Asta PowerProject stand alone with BIM Add on Module,,,FALSE,,Server,"£1,595",Standalone/Perpetual
Asta PowerProject Standalone New,,,FALSE,,Server,£967.50,Standalone/Perpetual
Asta PowerProject Standalone Reinstated,,,FALSE,,Server,£365,Standalone/Perpetual
Asta Project Comparision,,,FALSE,,User License,£219 / £40,Standalone/Perpetual
Asta Site Progress Mobile Manager,,,FALSE,,User License,£120,Standalone/Perpetual
AtRisk Industrial,,,FALSE,,User License,"£1,550",Standalone/Perpetual
AtRisk Pro,,,FALSE,,User License,"£1,425",Standalone/Perpetual
AtRisk Standard,,,FALSE,,User License,£845,Standalone/Perpetual
Autodesk 3D Studio Max,,,FALSE,,Server,Token from 2 per day through to 40 per day,Token
AutoDesk AutoCAD All versions,,,TRUE,,Server,Token from 2 per day through to 40 per day,Token
AutoDesk AutoCAD LT with support All versions,,,TRUE,,Server,Token from 2 per day through to 40 per day,Token
Autodesk Infraworks 360,,,FALSE,,Server,Token from 2 per day through to 40 per day,Token
AutoDesk Navisworks Simulate All versions (for automated clash detection),,,TRUE,,Server,Token from 2 per day through to 40 per day,Token
Autodesk REVIT All versions,,,TRUE,,Server,Token from 2 per day through to 40 per day,Token
AutoDesk Robot  All versions,,,FALSE,,Server,Token from 2 per day through to 40 per day,Token
Axiom (Rail Signalling),,,FALSE,,User License,"£15,000.00",Standalone/Perpetual
Back up Exec,,,FALSE,,User License,£471,Standalone/Perpetual
Bentley AECOsim,,,FALSE,,User License,£4415 / £1044 support,Subscription
Bentley Hevacomp Electrical Designers,,,FALSE,,User License,£2159/Select £369,Subscription
